time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[69536, 16246900, 37191411]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[69536],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[69536, 16246900, 66438394]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[69536],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[69536, 885295, 66438394]",1,[69536],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[69536, 66438394]",1,[69536],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[69536, 16246900, 66438394]",2,"[69536, 66438394]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,3,"[69536, 16246900, 66438394]",1,[69536],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[69536, 885295, 16246900, 66438394]",2,"[69536, 66438394]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,4,"[69536, 885295, 16246900, 66438394]",2,"[69536, 66438394]",0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[885295, 16246900, 66438394, 72522559]",2,"[16246900, 66438394]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[885295, 16246900]",1,[16246900],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[885295, 1216955, 16246900]",2,"[885295, 16246900]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[885295, 16246900]",2,"[885295, 16246900]",0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[885295, 16246900, 37191411, 138252374]",2,"[885295, 16246900]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[16246900],1,[16246900],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1216955, 16246900, 20461013]",1,[16246900],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1216955],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[16246900, 37191411, 57582567, 70180882, 138252374]",1,[16246900],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[16246900],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[885295, 16246900, 19496114, 24913696, 78850225]",1,[16246900],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[24913696],0,[],0,[],2,
