time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,7,"[18008405, 23487320, 33780601, 34196005, 36204372, 46989091, 68073829]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[34196005],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[33545676, 34196005, 36204372, 46989091, 47291048, 52116238, 68073829]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[34196005],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[34196005, 36204372, 46989091]",3,"[34196005, 36204372, 46989091]",1,[36204372],,3
2022-07,z_thresh,3,degree_centrality_z,1,[34196005],1,[34196005],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[34196005, 43065450, 141221046]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[34196005],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[34196005, 46989091, 154289614]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[34196005],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[8464165, 15991517, 23487320, 27900857, 34196005, 162423567]",1,[34196005],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[34196005],1,[34196005],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[34196005, 37228546, 37798958, 46304415, 59189425, 175728472]",1,[34196005],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[34196005, 175728472]",1,[34196005],0,[],2,
