time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,3,"[167319, 4242339, 17334646]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[4242339],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[4242339, 13725146, 30695966]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[4242339],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[26336, 1108613, 4242339]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[4242339],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[2315631, 4242339, 9655284, 44770402, 49474992]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,5,"[2315631, 4242339, 9655284, 44770402, 49474992]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[26336, 4242339, 7495078]",1,[4242339],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[4242339],1,[4242339],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,9,"[26336, 55792, 4242339, 7354954, 7495078, 8356825, 11349883, 26023242, 86518862]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[4242339],0,[],0,[],2,
