time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,6,"[14000, 506234, 4951629, 17177967, 29711188, 47383746]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[14000],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[14000, 17177967, 17749616]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[14000],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,18,"[14000, 436990, 506234, 5652584, 7490199, 11407254, 12881654, 17962682, 29711188, 31648661, 32206511, 39196446, 41993974, 44595253, 47568221, 48045453, 54077730, 54942476]",1,[14000],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[14000],1,[14000],0,[],2,
2021-07,top_k,3,degree_centrality_z,8,"[14000, 153142, 1846448, 41993974, 48045453, 51142400, 80790189, 82900412]",1,[14000],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[14000],1,[14000],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[14000, 29324589, 72047001]",1,[14000],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[14000],1,[14000],0,[],2,
2022-07,top_k,3,degree_centrality_z,8,"[14000, 817360, 15843978, 22793365, 36401733, 41993974, 52248487, 72047001]",1,[14000],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[14000],1,[14000],0,[],2,
