time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[249196, 514483, 3330048]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,2,"[249196, 3330048]",0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[32585, 945577, 961441, 1099483]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[961441],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[945577, 961441, 1099483]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[945577, 961441]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[32585, 484484, 945577, 3330048, 11049466]",1,[945577],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[3330048],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[444368, 484484, 945577, 3330048, 8964148]",1,[945577],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[484484],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[32585, 945577, 8964148]",1,[945577],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[32585, 8964148]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[945577, 7556571, 8964148]",2,"[945577, 8964148]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[8964148],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[118837, 5691347, 7556571, 8964148]",1,[8964148],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[118837],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[118837, 4043989, 8964148, 16010656]",1,[8964148],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[118837],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[645156, 8964148, 16010656]",1,[8964148],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[8964148, 16010656]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1710804, 8964148, 16010656]",2,"[8964148, 16010656]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1710804],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[118837, 3189670, 3198290, 3592998, 6515020, 7942785, 16010656]",1,[16010656],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[3198290, 16010656]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[118837, 1459486, 3189670, 8964148, 16010656]",1,[16010656],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[8964148, 16010656]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[16010656, 27893385, 69784365]",1,[16010656],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[69784365],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[3189670, 8964148, 16010656]",1,[16010656],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[3189670],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[383862, 3189670, 8964148, 16010656]",1,[16010656],1,[16010656],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[3189670, 8964148]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[3189670, 8964148, 17448993]",2,"[3189670, 8964148]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[3189670],1,[3189670],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[961441, 3189670, 4454296, 8964148]",2,"[3189670, 8964148]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[3189670],1,[3189670],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[645156, 961441, 3189670, 8964148]",2,"[3189670, 8964148]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[3189670],1,[3189670],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[781561, 3189670, 49161187, 49699333, 51848298, 109274085]",1,[3189670],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[3189670],1,[3189670],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[3189670, 8964148, 10894099]",1,[3189670],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[3189670],1,[3189670],0,[],2,
