time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,3,"[1175927, 6614121, 9024261]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[12686, 1175927, 6614121, 11834997, 20658648]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[1175927, 11834997, 20540665, 31621856]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[1175927, 20540665]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1175927, 6567910, 11834997]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[216452, 1175927, 27856297]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1175927, 27856297, 55277136]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[1175927, 35577657, 49699333, 55277136]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1175927],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1175927, 6076111, 49699333]",1,[1175927],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1175927],1,[1175927],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[1175927, 6603048, 22620406, 35577657, 74354492]",1,[1175927],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1175927],1,[1175927],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[1175927, 6567910, 6603048, 35577657]",1,[1175927],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[1175927, 6603048]",1,[1175927],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[1175927, 1561559, 49699333, 55277136]",1,[1175927],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1175927],1,[1175927],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1175927, 6603048, 55277136]",1,[1175927],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[1175927, 6603048]",1,[1175927],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[1175927, 6603048, 22620406, 55277136, 121864904, 146826833]",2,"[1175927, 55277136]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[1175927, 55277136]",1,[1175927],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1175927, 6603048, 55277136]",3,"[1175927, 6603048, 55277136]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1175927],1,[1175927],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1175927, 14262130, 55277136]",2,"[1175927, 55277136]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[1175927, 14262130, 55277136]",1,[1175927],0,[],2,
