time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[915544, 1282865, 2431974]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,3,"[915544, 1282865, 2431974]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,11,"[13816, 569754, 915544, 1282865, 1850500, 2070616, 2431974, 3237256, 8268008, 12802962, 17479229]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2431974],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[391807, 569754, 1282865, 2431974]",2,"[1282865, 2431974]",1,[1282865],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2431974],1,[2431974],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[569754, 2431974, 30189103]",2,"[569754, 2431974]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[2431974],1,[2431974],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[391807, 2431974, 30189103]",1,[2431974],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2431974],1,[2431974],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[17137, 391807, 2431974, 33322735]",1,[2431974],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2431974],1,[2431974],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[235362, 1167539, 2431974, 33322735]",1,[2431974],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2431974],1,[2431974],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[391807, 1779249, 2431974, 2624756, 23017086, 30189103]",1,[2431974],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1779249],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[1779249, 2431974, 30189103, 75433959]",1,[2431974],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2431974],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1779249, 2431974, 75433959]",2,"[1779249, 2431974]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2431974],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[780562, 1028657, 2431974, 75433959]",2,"[2431974, 75433959]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[780562, 75433959]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[1779249, 2431974, 37811263, 75433959, 97166496]",2,"[2431974, 75433959]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[75433959],0,[],0,[],2,
