time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,4,"[641281, 2975131, 33701864, 34697904]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[641281, 33701864]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[22429695, 33701864, 59943014]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[22429695, 33701864, 34697904, 59943014]",1,[33701864],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[34697904, 59943014]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[22429695, 25036977, 33701864, 34697904]",2,"[22429695, 33701864]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[33701864],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[14830, 329077, 22429695, 25036977, 33701864, 34697904]",3,"[22429695, 33701864, 34697904]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[22429695, 30268971, 33701864, 34697904, 59943014]",3,"[22429695, 33701864, 34697904]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[33701864],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[33701864, 34697904, 136622811]",2,"[33701864, 34697904]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[33701864],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[22429695, 33701864, 34697904, 34875857, 41898282, 136622811]",2,"[33701864, 34697904]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[136622811],0,[],0,[],2,
