time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,4,"[81219, 3630311, 10819524, 22454970]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[81219],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[81219, 10819524, 22454970]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[81219],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[81219, 10819524, 22454970]",3,"[81219, 10819524, 22454970]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[81219, 10819524]",1,[81219],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[81219, 10819524, 20629530, 22454970]",3,"[81219, 10819524, 22454970]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[81219],1,[81219],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[81219, 10819524, 20629530]",2,"[81219, 10819524]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[81219],1,[81219],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[81219, 10819524, 20629530]",3,"[81219, 10819524, 20629530]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[20629530],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[81219, 10819524, 20629530]",3,"[81219, 10819524, 20629530]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[81219, 10819524, 20629530]",3,"[81219, 10819524, 20629530]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",1,[20629530],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2354108, 10819524, 20629530]",2,"[10819524, 20629530]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",2,"[10819524, 20629530]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[10819524, 20629530, 71575674]",2,"[10819524, 20629530]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",2,"[10819524, 20629530]",0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[81219, 10819524, 20629530, 71575674]",2,"[10819524, 20629530]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",2,"[10819524, 20629530]",0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[10819524, 20629530, 71575674]",3,"[10819524, 20629530, 71575674]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",2,"[10819524, 20629530]",0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[10819524, 20629530, 71575674]",3,"[10819524, 20629530, 71575674]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[10819524, 20629530]",2,"[10819524, 20629530]",0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[10819524, 20629530, 71575674]",3,"[10819524, 20629530, 71575674]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[10819524, 20629530, 71575674]",2,"[10819524, 20629530]",0,[],2,
