time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,3,"[1662493, 20214043, 49689251]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[1662493, 49689251]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[20214043, 33884098, 49689251]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[20214043, 33884098]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[20214043, 33884098, 49689251]",2,"[20214043, 49689251]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[20214043, 33884098]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[20214043, 33884098, 49729116]",2,"[20214043, 33884098]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[20214043, 33884098]",2,"[20214043, 33884098]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[8149784, 20214043, 33884098]",2,"[20214043, 33884098]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[33884098],1,[33884098],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1662493, 8149784, 33884098]",1,[33884098],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[33884098],1,[33884098],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[8149784, 20214043, 33884098]",2,"[8149784, 33884098]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[20214043, 33884098]",1,[33884098],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2678400, 20214043, 33884098]",1,[33884098],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[33884098],1,[33884098],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[2678400, 8149784, 20214043]",1,[20214043],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[8149784, 20214043]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[14923067, 20214043, 33884098]",1,[20214043],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[14923067],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[8149784, 14923067, 41898282, 49026743, 66853113]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[49026743],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[2678400, 8149784, 14923067, 41898282]",1,[14923067],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[8149784, 14923067]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[2678400, 8149784, 14923067, 25577083, 49026743]",2,"[8149784, 14923067]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[49026743],0,[],0,[],2,
