time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[524365, 1242887, 1289759]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,2,"[524365, 1242887]",0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[524365, 1154044, 1242887, 4221605]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,2,"[524365, 1242887]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[483314, 524365, 1242887, 1289759]",2,"[524365, 1242887]",0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[156838, 524365, 1242887]",2,"[524365, 1242887]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2017-01,top_k,3,degree_centrality_z,8,"[156838, 179599, 713676, 1242887, 1648548, 4221605, 6370957, 6754005]",1,[1242887],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[179599, 1242887]",1,[1242887],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[132355, 179599, 1242887]",1,[1242887],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[179599, 1242887]",1,[1242887],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[179599, 522344, 877790, 1242887]",2,"[179599, 1242887]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[179599, 1242887]",2,"[179599, 1242887]",0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[156838, 179599, 1242887]",2,"[179599, 1242887]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[179599, 1242887]",2,"[179599, 1242887]",0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[109467, 179599, 1242887]",2,"[179599, 1242887]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[109467, 1242887]",1,[1242887],0,[],2,
2019-07,top_k,3,degree_centrality_z,11,"[156838, 179599, 354798, 1242887, 1883523, 1932579, 2840348, 9733800, 16293392, 25401310, 31420082]",2,"[179599, 1242887]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[179599, 1242887]",1,[1242887],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[179599, 1242887, 10827989]",2,"[179599, 1242887]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[1242887, 10827989]",1,[1242887],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1242887, 1658117, 8472271]",1,[1242887],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[179599, 1242887, 10827989]",1,[1242887],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2021-07,top_k,3,degree_centrality_z,9,"[179599, 1028103, 1242887, 3322724, 4025227, 12967000, 15702603, 22151742, 27573356]",1,[1242887],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2022-01,top_k,3,degree_centrality_z,20,"[121960, 179599, 337128, 755796, 1073415, 1242887, 1474141, 2462977, 4512028, 4616906, 10827989, 15952538, 20561837, 22151742, 29413068, 35312653, 40149082, 41282272, 86657372, 107076468]",2,"[179599, 1242887]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[179599, 1242887, 65513556]",2,"[179599, 1242887]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[297042, 603437, 1242887]",1,[1242887],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[179599, 297042, 1242887]",1,[1242887],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[297042, 1242887, 32186723]",2,"[297042, 1242887]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[179599, 297042, 1242887, 32186723]",2,"[297042, 1242887]",1,[297042],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1242887],1,[1242887],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[192418, 1242887, 5458089]",1,[1242887],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[192418, 1242887, 5458089]",1,[1242887],0,[],2,
