time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[3069, 54710, 2354108, 18341652]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[220839, 715654, 835280, 2354108, 2576940]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[715654],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[220839, 4926823, 11046271]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[4926823],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[60163, 220839, 1242887, 4926823, 8113443]",1,[220839],1,[220839],,3
2020-01,z_thresh,3,degree_centrality_z,1,[4926823],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[60163, 2524550, 8113443]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[60163],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[60163, 9424052, 46404058]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[60163],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[26695, 60163, 179599, 136518979]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[60163, 136518979]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[26695, 60163, 179599, 3608264, 7459647, 15861355]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[60163],0,[],0,[],2,
