time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,4,"[433696, 1061639, 33006763, 56197573]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[56197573],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[33006763, 49699333, 52342949, 84209076]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[33006763],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[9658156, 33006763, 110035058, 120196567]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[33006763],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[8844723, 9658156, 33006763, 41898282, 49699333, 132343117]",1,[33006763],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[33006763],1,[33006763],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[864630, 9658156, 33006763]",2,"[9658156, 33006763]",1,[9658156],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[9658156, 33006763]",1,[33006763],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[8508564, 13706996, 33006763]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[33006763],0,[],0,[],2,
