time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,4,"[2065206, 5271009, 10343046, 12036370]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[5271009, 12036370]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[5271009, 12036370, 29147871]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[5271009],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,6,"[2065206, 5271009, 12036370, 22797900, 25044814, 32209687]",2,"[5271009, 12036370]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2019-01,top_k,3,degree_centrality_z,6,"[2065206, 5271009, 10343046, 12036370, 22797900, 29147871]",2,"[5271009, 12036370]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[5271009, 12036370, 22797900]",3,"[5271009, 12036370, 22797900]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[5271009, 12036370, 22797900, 29147871]",3,"[5271009, 12036370, 22797900]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[2065206, 5271009, 22429695, 22797900, 52720538]",2,"[5271009, 22797900]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[5271009, 12036370, 21196859, 22797900, 52720538]",2,"[5271009, 22797900]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5271009],1,[5271009],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[5271009, 6656888, 52720538]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5271009],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5271009, 12036370, 17304717]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5271009],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[5271009, 12036370, 41573628, 125581724]",1,[5271009],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[125581724],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[5271009, 9200049, 125581724]",1,[5271009],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[125581724],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[5271009, 12036370, 41063083, 41573628, 76802320, 125581724]",2,"[5271009, 125581724]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[125581724],1,[125581724],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5271009, 41063083, 125581724]",2,"[5271009, 125581724]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[125581724],1,[125581724],0,[],2,
