time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[251364, 1509279, 11801682]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[11801682],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1509279, 6395915, 11801682]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[6395915],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[6395915, 11801682, 36705287]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[36705287],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[1670421, 11801682, 44685107, 48900745, 62736578, 62736662, 65553080]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[11801682],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,12,"[1701250, 3905488, 9670915, 11801682, 16733515, 21215791, 26537492, 26766229, 32757948, 32984328, 38273521, 62698128]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[11801682],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[561818, 1910865, 11801682, 21215791]",1,[11801682],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[11801682, 21215791]",1,[11801682],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[5431786, 11801682, 18562815, 21215791, 27119852, 76736114]",2,"[11801682, 21215791]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[21215791],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[5431786, 11801682, 21215791]",2,"[11801682, 21215791]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[21215791],1,[21215791],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[885054, 11801682, 17965678, 21215791]",2,"[11801682, 21215791]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[21215791],1,[21215791],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[10812246, 11350998, 11801682, 15926481, 21215791, 26813330, 63121415]",2,"[11801682, 21215791]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[11801682, 21215791]",1,[21215791],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[16748252, 42406846, 43374320, 64270307, 79842766]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[64270307],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[21215791, 41338087, 70491689]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[21215791, 41338087]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[11801682, 18432916, 21215791, 33467654]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[11801682],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,23,"[76894, 11801682, 19562093, 19906907, 20823062, 23102798, 27065681, 30388414, 37618953, 42870117, 43621698, 44939613, 46196493, 56673361, 57989126, 61907253, 66779368, 83300310, 110143146, 116827556, 174381337, 176515186, 199011778]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[110143146],0,[],0,[],2,
