time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[77411, 210406, 1106237]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[1106237],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[210406, 573606, 1027979, 1106237]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,2,"[210406, 573606]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,6,"[77411, 126919, 210406, 573606, 1716394, 2811760]",1,[210406],1,[210406],,3
2016-01,z_thresh,3,degree_centrality_z,1,[77411],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,7,"[422707, 1106237, 2280920, 5587130, 8277690, 17475807, 20645800]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[5587130],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[154292, 1106237, 1304895]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[1106237, 1304895]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1106237, 1304895, 1816521]",1,[1106237],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,3,"[1106237, 1304895, 1816521]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1106237, 1304895, 1816521]",2,"[1106237, 1304895]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1304895],1,[1304895],0,[],2,
2018-07,top_k,3,degree_centrality_z,11,"[753356, 1106237, 1304895, 1547881, 1816521, 2884816, 3432492, 5354796, 8967742, 29108558, 38868412]",3,"[1106237, 1304895, 1816521]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1304895],1,[1304895],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1716394, 1816521, 2884816]",1,[1816521],1,[1816521],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2884816],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1081858, 1716394, 39711880]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1716394],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[7543705, 8565076, 38868412]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[38868412],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[336449, 3845873, 8565076]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[3845873],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[336449, 3845873, 7179845, 7543705]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[336449, 7179845]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[3845873, 7179845, 8565076]",1,[3845873],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[7179845],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1922888, 7179845, 86379616]",1,[7179845],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1912028, 7179845, 8565076]",1,[7179845],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[205209, 3311321, 7179845, 89947784, 117383435]",1,[7179845],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[3845873, 7179845, 19921759, 117383435]",1,[7179845],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1922888, 7179845, 117383435]",2,"[7179845, 117383435]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[329812, 1794126, 1922888, 2895015, 7179845, 117383435, 129796564]",2,"[7179845, 117383435]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[7179845],1,[7179845],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1922888, 2895015, 117383435]",2,"[1922888, 117383435]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1922888],0,[],0,[],2,
