time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,15,"[203523, 1042804, 1779189, 2678795, 4484927, 11660522, 13247441, 13639658, 15064365, 15256099, 20051946, 24553733, 25851783, 27911055, 30822965]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[15064365],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,9,"[203523, 530988, 9855832, 15064365, 22642353, 28005903, 34818065, 47452474, 66390593]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[15064365],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[805313, 15064365, 16527083]",1,[15064365],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[15064365],1,[15064365],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[13872095, 71882999, 87021277]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[13872095, 71882999, 87021277]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,18,"[539797, 2200743, 2532692, 3447479, 5258731, 5480372, 7870972, 12443143, 13131569, 15064365, 22737286, 25040293, 38345187, 43796733, 60734042, 62374347, 75618251, 100674456]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[62374347],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,12,"[925560, 1000022, 6481984, 15570807, 24731018, 31050507, 61581909, 70778912, 85935040, 112973325, 125613442, 128115887]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,12,"[925560, 1000022, 6481984, 15570807, 24731018, 31050507, 61581909, 70778912, 85935040, 112973325, 125613442, 128115887]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[158456, 22264281, 41852601]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[41852601],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1679183, 9556620, 30324885, 130659821]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,4,"[1679183, 9556620, 30324885, 130659821]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[911566, 15064365, 17701527, 30324885]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[911566, 30324885]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[911566, 30324885, 91343054]",1,[30324885],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[911566, 30324885]",1,[30324885],0,[],2,
