time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[7882933, 16859243, 95635797]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[95635797],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[7217608, 13412443, 16859243, 95635797]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[95635797],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[1474411, 7217608, 13412443, 16859243, 42608623, 95635797]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[95635797],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[988244, 95635797, 122745733, 178211220]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,4,"[988244, 95635797, 122745733, 178211220]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,12,"[25550075, 38480130, 47833532, 54156926, 68193067, 74816123, 95635797, 95698968, 188829268, 191719776, 193284583, 207624800]",1,[95635797],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[54156926, 95635797]",1,[95635797],0,[],2,
