time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,3,"[3611305, 6782923, 17547620]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[3611305],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[3611305, 10767894, 11313817]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,3,"[3611305, 10767894, 11313817]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[90995, 3611305, 6514520, 17988601, 22265956]",1,[3611305],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[3611305],1,[3611305],0,[],2,
2020-01,top_k,3,degree_centrality_z,6,"[90995, 893310, 3611305, 10716651, 21184718, 47623143]",1,[3611305],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[3611305],1,[3611305],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[3611305, 10529048, 31623825, 42023366]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[10529048],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[3611305, 5402758, 36760528, 48772414]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[36760528],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[124298, 5843240, 95752716]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[124298],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[124298, 3260909, 3611305, 20957360, 24207122, 31734765, 48252551]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[3611305],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,10,"[6095328, 6602698, 6746970, 7937848, 8517425, 12873986, 36966611, 48252551, 87273732, 98710872]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[8517425],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[3611305, 6746970, 8517425, 24207122, 30319233, 37429397]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[3611305, 30319233]",0,[],0,[],2,
