time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,3,"[715280, 1842005, 8655789]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[715280, 1651235, 5411875, 8655789, 10776763]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[715280, 1651235, 7001840, 8655789]",2,"[715280, 8655789]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[715280],1,[715280],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,7,"[715280, 3627182, 4854791, 5776022, 8655789, 10776763, 22270570]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,8,"[715280, 1651235, 2823824, 7001840, 7748811, 8655789, 11851990, 32545466]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[715280, 11851990]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[715280, 7748811, 8655789, 11851990]",2,"[715280, 8655789]",1,[8655789],,3
2019-07,z_thresh,3,degree_centrality_z,1,[715280],1,[715280],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[131836, 715280, 11934090, 18602635]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[715280, 18602635]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,8,"[715280, 1322974, 12139781, 13241608, 18602635, 35085572, 47848489, 52831296]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[715280, 11851990, 12139781, 44469195]",1,[715280],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[715280],1,[715280],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[715280, 1651235, 6898909, 33191593]",1,[715280],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[715280, 33191593]",1,[715280],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[715280, 2242949, 6469101, 44469195, 52831296, 65553080, 118312916]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[715280, 1322974, 12139781, 43250672]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[715280],0,[],0,[],2,
