time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,6,"[206176, 2231972, 2354108, 3131401, 8936658, 10181244]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[10181244],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[2354108, 10181244, 22429695]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[10181244],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[9105664, 10181244, 22429695]",1,[10181244],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[4374581, 10181244, 22429695]",2,"[10181244, 22429695]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2019-07,top_k,3,degree_centrality_z,7,"[221256, 1164112, 1558590, 2947276, 10181244, 12062803, 22429695]",2,"[10181244, 22429695]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[10181244, 10216562, 22429695]",2,"[10181244, 22429695]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[10181244, 22429695, 24530683]",2,"[10181244, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[3972343, 6381576, 11440490, 22429695, 45063741]",1,[22429695],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1850356, 10181244, 23500353]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[10181244],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[6099970, 6247921, 9717373, 10181244, 22429695, 26473464]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[10181244],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[134478, 134518, 709565, 10181244, 22429695, 23500353]",1,[10181244],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[10181244],1,[10181244],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[4056263, 10181244, 23500353]",1,[10181244],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[23500353],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[134518, 745513, 2947276, 11632032, 110804495]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[745513],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[745513, 2947276, 9257800, 11357370, 11632032, 58492424, 61126210]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[11632032],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[2947276, 4056263, 10181244, 11357370]",1,[2947276],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[2947276],0,[],0,[],2,
