time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,5,"[4280312, 8655789, 9875406, 19553554, 31056083]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[4280312, 19553554]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[4280312, 9875406, 19553554]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[4280312, 19553554]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[4280312, 9875406, 19553554]",3,"[4280312, 9875406, 19553554]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[4280312, 19553554]",2,"[4280312, 19553554]",0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[4280312, 17564655, 19553554]",2,"[4280312, 19553554]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,3,"[4280312, 17564655, 19553554]",2,"[4280312, 19553554]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[4280312, 17564655, 19553554]",2,"[4280312, 19553554]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[4280312, 17564655, 19553554]",2,"[4280312, 19553554]",0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[4280312, 17564655, 19553554]",3,"[4280312, 17564655, 19553554]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4280312, 17564655, 37883510]",2,"[4280312, 17564655]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2021-01,top_k,3,degree_centrality_z,19,"[821550, 2276718, 15418465, 16172523, 17564655, 17871310, 19553554, 26074941, 28585719, 33720821, 38247571, 40586569, 40603468, 44485092, 45133410, 45445106, 48908630, 55119858, 65553080]",1,[17564655],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[666683, 17564655, 33982782, 35531049]",1,[17564655],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[13306286, 15245112, 17564655, 19553554, 20391209, 25660357, 99384161]",1,[17564655],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2022-07,top_k,3,degree_centrality_z,17,"[3577158, 4280312, 5254627, 11556355, 15613304, 17564655, 17998057, 20342275, 23051018, 45583166, 48700073, 50828953, 71778986, 110294065, 113943679, 116135462, 116931428]",1,[17564655],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[17564655, 51685446, 79044615]",1,[17564655],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[536105, 17564655, 48062078, 65553080, 95331415]",1,[17564655],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2024-01,top_k,3,degree_centrality_z,8,"[612758, 3032247, 17564655, 19553554, 29084184, 99485395, 118235418, 124881392]",1,[17564655],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[17564655, 42136804, 73051894]",1,[17564655],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[16778504, 17564655, 27946385]",1,[17564655],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[17564655],1,[17564655],0,[],2,
