time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[307683, 527280, 784161]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,3,"[307683, 527280, 784161]",0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[307683, 527280, 784161]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,3,"[307683, 527280, 784161]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[307683, 784161, 1137018]",2,"[307683, 784161]",0,[],,3
2016-01,z_thresh,3,degree_centrality_z,5,"[307683, 527280, 784161, 1137018, 10407290]",3,"[307683, 527280, 784161]",0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[784161, 1137018, 10407290]",1,[784161],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,5,"[307683, 784161, 1137018, 2125584, 10407290]",2,"[307683, 784161]",0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[784161, 1137018, 15351036]",2,"[784161, 1137018]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,3,"[784161, 1137018, 15351036]",2,"[784161, 1137018]",0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[784161, 1137018, 15351036]",2,"[784161, 1137018]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[784161, 15351036]",1,[784161],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[784161, 1137018, 2125584]",2,"[784161, 1137018]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,3,"[784161, 1137018, 2125584]",1,[784161],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[784161, 1137018, 2125584]",2,"[784161, 1137018]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[784161, 2125584]",1,[784161],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[784161, 814785, 2125584]",2,"[784161, 2125584]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[784161, 2125584]",2,"[784161, 2125584]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[784161, 2125584, 10014976]",2,"[784161, 2125584]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,4,"[784161, 791741, 2125584, 10014976]",2,"[784161, 2125584]",0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[784161, 2125584, 50370070]",2,"[784161, 2125584]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,3,"[784161, 2125584, 50370070]",2,"[784161, 2125584]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,5,"[784161, 2033598, 5579125, 30940778, 50370070]",1,[784161],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",1,[50370070],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",1,[50370070],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",3,"[5579125, 30940778, 50370070]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",3,"[5579125, 30940778, 50370070]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",3,"[5579125, 30940778, 50370070]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",3,"[5579125, 30940778, 50370070]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2023-07,top_k,3,degree_centrality_z,18,"[340548, 3198471, 4802343, 5579125, 5703454, 10014976, 10033722, 12128514, 15418465, 16239342, 26390254, 30940778, 34558050, 50370070, 69023953, 95831220, 139153661, 143402717]",3,"[5579125, 30940778, 50370070]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[3431046, 5579125, 10014976, 16239342, 30940778, 44511825]",2,"[5579125, 30940778]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1829209, 5579125, 30940778]",2,"[5579125, 30940778]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5579125, 30940778, 50370070]",2,"[5579125, 30940778]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[5579125, 30940778]",2,"[5579125, 30940778]",0,[],2,
