time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,7,"[1470552, 5296507, 14890048, 17518525, 17710617, 22429695, 37242672]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[17518525],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[1038978, 17518525, 17710617, 42448023]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[17518525],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[1470552, 11910667, 17518525, 22429695]",1,[17518525],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2020-01,top_k,3,degree_centrality_z,6,"[846001, 3972208, 17518525, 17710617, 22429695, 65553080]",1,[17518525],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[1038978, 8456656, 8655789, 17518525, 30052553]",1,[17518525],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2021-01,top_k,3,degree_centrality_z,7,"[1038978, 1470552, 8655789, 17518525, 22429695, 45574642, 62540829]",1,[17518525],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[17518525, 22429695, 62540829]",1,[17518525],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[17518525, 22429695, 30052553, 40755537]",2,"[17518525, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2022-07,top_k,3,degree_centrality_z,13,"[3972208, 15210350, 17518525, 22429695, 25755708, 34967663, 44522624, 50385055, 56700745, 57236497, 82270263, 105680380, 111170320]",2,"[17518525, 22429695]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[3972208, 13432775, 17518525, 30151793, 100442315]",1,[17518525],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2023-07,top_k,3,degree_centrality_z,11,"[271906, 8806046, 17518525, 34967663, 38867713, 40755537, 55482907, 100442315, 143370344, 145696453, 148867982]",1,[17518525],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[17518525, 34967663, 46668746]",1,[17518525],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[6146026, 9008207, 17518525, 34967663, 185518238]",2,"[17518525, 34967663]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[17518525, 81624911, 123319063]",1,[17518525],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[17518525],1,[17518525],0,[],2,
