time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[6659534, 25945912, 65553080]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6659534],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[2198942, 6659534, 16698232, 62331504]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6659534],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,13,"[3628310, 6051395, 6659534, 12543309, 12664321, 16698232, 22008945, 25749103, 38702315, 53413157, 61968949, 79468953, 81559928]",1,[6659534],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6659534],1,[6659534],0,[],2,
2021-07,top_k,3,degree_centrality_z,21,"[1276040, 4998473, 6659534, 6864177, 7059165, 17513912, 18824134, 22788747, 24267968, 26390780, 32641116, 36692350, 36955177, 38936531, 57322487, 68746444, 69217396, 79468953, 84168146, 91256148, 94961171]",1,[6659534],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6659534],1,[6659534],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6659534, 7454137, 19884161]",1,[6659534],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6659534],1,[6659534],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[395419, 6659534, 28798269]",1,[6659534],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6659534],1,[6659534],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[2187389, 6659534, 20599632, 65066173, 73822583, 79037344]",1,[6659534],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[79037344],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,9,"[395419, 2187389, 6659534, 33715277, 53396553, 73348979, 77976599, 79037344, 127373928]",1,[6659534],1,[6659534],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6659534],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[2187389, 33912270, 49959927, 53396553, 84068185]",1,[2187389],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[53396553],0,[],0,[],2,
