time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,4,"[940353, 1524636, 1824452, 46028563]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1524636],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1524636, 1824452, 13370507]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,3,"[1524636, 1824452, 13370507]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1524636, 1824452, 8757014]",2,"[1524636, 1824452]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[1524636, 1824452]",1,[1524636],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1524636, 1824452, 8757014]",2,"[1524636, 1824452]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,3,"[1524636, 1824452, 8757014]",2,"[1524636, 1824452]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1524636, 1824452, 8757014]",3,"[1524636, 1824452, 8757014]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,3,"[1524636, 1824452, 8757014]",2,"[1524636, 1824452]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[708135, 1524636, 8757014]",2,"[1524636, 8757014]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,5,"[708135, 1524636, 1824452, 8757014, 13370507]",3,"[1524636, 1824452, 8757014]",0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1524636, 8757014, 11277676]",2,"[1524636, 8757014]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,4,"[708135, 1524636, 8757014, 11277676]",2,"[1524636, 8757014]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1524636, 8757014, 11277676]",2,"[1524636, 8757014]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,7,"[708135, 1524636, 8757014, 11277676, 12769846, 13370507, 33128597]",3,"[708135, 1524636, 8757014]",0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1524636, 8757014, 33128597]",2,"[1524636, 8757014]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,4,"[1524636, 8757014, 13370507, 33128597]",2,"[1524636, 8757014]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1524636, 8757014, 24210163]",2,"[1524636, 8757014]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,4,"[1524636, 8757014, 24210163, 33128597]",3,"[1524636, 8757014, 33128597]",0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1524636, 8757014, 24210163]",2,"[1524636, 8757014]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,5,"[708135, 1524636, 8757014, 13370507, 24210163]",2,"[1524636, 8757014]",0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1524636, 13370507, 24210163]",2,"[1524636, 24210163]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,5,"[708135, 1524636, 8757014, 13370507, 24210163]",3,"[1524636, 8757014, 24210163]",0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[708135, 1524636, 13370507]",1,[1524636],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[708135, 1524636, 13370507]",3,"[708135, 1524636, 13370507]",0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1524636, 24210163, 33128597]",1,[1524636],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[1524636, 24210163, 33128597]",1,[1524636],0,[],2,
