time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,6,"[2069677, 6654709, 6897215, 7870803, 8173546, 8518239]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[6654709],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[2069677, 6654709, 6897215]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[6897215],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[2069677, 6654709, 6897215]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[2069677, 6897215]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[2069677, 6654709, 6897215]",3,"[2069677, 6654709, 6897215]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[2069677, 2721423, 6897215, 10376041, 31722017]",2,"[2069677, 6897215]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[2069677, 6654709, 6897215, 7983005, 8655789]",2,"[2069677, 6897215]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[2069677, 6897215]",1,[6897215],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[2069677, 6897215, 7983005, 65553080]",2,"[2069677, 6897215]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2022-01,top_k,3,degree_centrality_z,8,"[223276, 883786, 2069677, 6897215, 17724047, 19604031, 30697242, 65553080]",2,"[2069677, 6897215]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[2069677, 6897215]",1,[6897215],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[2069677, 6654709, 6897215, 65553080]",3,"[2069677, 6897215, 65553080]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[6897215, 8573886, 65553080]",2,"[6897215, 65553080]",1,[65553080],,3
2023-01,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[2069677, 6654709, 6897215, 14147559, 28998097]",1,[6897215],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[883786, 2069677, 6897215]",1,[6897215],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6897215],1,[6897215],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[883786, 2069677, 6897215]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6897215],0,[],0,[],2,
