time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,3,"[302922, 444071, 22429695]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[302922],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[302922, 444071, 22429695]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[302922, 444071, 22429695]",3,"[302922, 444071, 22429695]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",1,[302922],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[302922, 444071, 22429695]",3,"[302922, 444071, 22429695]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",2,"[302922, 444071]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[302922, 444071, 1817107]",2,"[302922, 444071]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[302922, 444071, 1817107]",2,"[302922, 444071]",0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[302922, 444071, 1817107, 22429695]",2,"[302922, 444071]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",2,"[302922, 444071]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[60163, 302922, 444071]",2,"[302922, 444071]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",2,"[302922, 444071]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[60163, 302922, 444071]",2,"[302922, 444071]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",2,"[302922, 444071]",0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[302922, 444071, 949228, 1913139]",2,"[302922, 444071]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[302922, 444071]",2,"[302922, 444071]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[444071, 1913139, 5634892]",1,[444071],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1913139],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[444071, 1913139, 5634892]",2,"[444071, 1913139]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1913139],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[965550, 1817107, 5634892, 6158929]",1,[5634892],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5634892],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[444071, 1913139, 5634892]",1,[5634892],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[444071, 1913139]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[444071, 1817107, 1913139, 5634892]",1,[5634892],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[444071, 1817107]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[1118696, 1913139, 3433835, 5634892]",2,"[1913139, 5634892]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1913139],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[388671, 1913139, 5634892, 94735640]",2,"[1913139, 5634892]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1913139],0,[],0,[],2,
