time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,3,"[195940, 398714, 694081]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[398714],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[398714, 1663284, 2200743, 5716520]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[398714],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[195940, 398714, 694081, 1041304, 11929146]",1,[398714],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[398714],1,[398714],0,[],2,
2017-01,top_k,3,degree_centrality_z,13,"[36428, 88917, 398714, 939889, 1002582, 1221092, 1996632, 5113718, 5161339, 8520897, 8599007, 8616788, 16244397]",1,[398714],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[398714],1,[398714],0,[],2,
2017-07,top_k,3,degree_centrality_z,11,"[127595, 398714, 1002582, 2533425, 3324466, 4754442, 5163640, 8081536, 9317475, 13479298, 31326650]",1,[398714],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[398714],1,[398714],0,[],2,
2018-01,top_k,3,degree_centrality_z,8,"[398714, 1165802, 2024221, 2533425, 6486967, 8275749, 24267931, 26661177]",1,[398714],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[398714],1,[398714],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[190835, 398714, 1099386, 2669034, 7433104]",1,[398714],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[398714, 7433104]",1,[398714],0,[],2,
2019-01,top_k,3,degree_centrality_z,6,"[329820, 398714, 753466, 1608525, 1629419, 7433104]",1,[398714],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[398714, 7433104]",1,[398714],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[398714, 7433104, 22969312]",2,"[398714, 7433104]",1,[7433104],,3
2019-07,z_thresh,3,degree_centrality_z,1,[22969312],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[115263, 398714, 12767435]",1,[398714],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[398714, 12767435]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[179599, 398714, 2819376, 33037485]",1,[398714],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[398714],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,10,"[398714, 620295, 1595901, 2115054, 11720038, 22526682, 38153680, 41852594, 49037260, 70140627]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[398714, 22526682]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,9,"[122642, 390379, 398714, 533081, 559317, 6259829, 13822074, 22022517, 38415384]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[122642],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,43,"[6599, 22304, 189750, 398714, 470798, 533081, 688540, 814659, 939889, 1002582, 1006477, 1044300, 1241677, 1863158, 2216839, 2960753, 3034812, 3158353, 3326999, 3531331, 4885156, 5163640, 5245670, 5723014, 7534547, 8248804, 8875162, 10054759, 10791710, 14323062, 17201781, 22425371, 22969312, 31007640, 31284574, 36353143, 38415384, 42480289, 47725805, 49037260, 49699333, 107421786, 112887899]",1,[398714],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[38415384],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[1863158, 38415384, 88141521, 94680382]",1,[38415384],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[38415384],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[111515, 3875361, 38415384, 48033818, 115561717, 157328892]",1,[38415384],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[38415384],1,[38415384],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1042226, 36353143, 38415384]",1,[38415384],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[38415384],1,[38415384],0,[],2,
2025-01,top_k,3,degree_centrality_z,12,"[1246751, 4946673, 5473291, 8624205, 12734718, 16178596, 16475162, 19793145, 26852038, 38415384, 62746723, 175760590]",1,[38415384],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[38415384],1,[38415384],0,[],2,
