time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,4,"[837573, 2354108, 5777580, 5896705]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[837573, 5777580]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1793263, 2354108, 5896705]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[5896705],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[837573, 5777580, 5896705]",1,[5896705],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,3,"[837573, 5777580, 5896705]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1793263, 11654032, 15076013]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1793263],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[837573, 5777580, 5896705, 11654032, 29633518]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[11654032],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1793263, 11654032, 15076013]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[1793263, 11654032, 15076013]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[1793263, 5896705, 11268429, 11654032, 32875212]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[11654032],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[11654032, 46902503, 57324024]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[11654032],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[11654032, 32875212, 65865450, 75429843]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[11654032],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[4533781, 4963868, 11654032, 80213902, 85872266, 120139822]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[11654032],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[11654032, 13847969, 41301536, 95933410, 100799413, 114651979]",1,[11654032],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[11654032],1,[11654032],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[11654032, 49806974, 136372560]",1,[11654032],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[11654032],1,[11654032],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[886421, 11654032, 19333515]",1,[11654032],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[11654032],1,[11654032],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[886421, 11654032, 124144453, 187659912]",1,[11654032],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[11654032],1,[11654032],0,[],2,
