time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,3,"[194129, 491659, 16530421]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[194129],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,7,"[26338, 112249, 194129, 199592, 491659, 1721820, 22556226]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[194129],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[194129, 2680980, 4801074, 22556226]",1,[194129],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[194129],1,[194129],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[194129, 199592, 320265, 327548, 3990077]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[194129],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[194129, 327548, 991986]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[194129],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[194129, 2894642, 11718525]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[194129, 2894642, 11718525]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[38294, 1152074, 2894642, 11718525, 40968415]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1152074],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[38294, 1152074, 59607654]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[38294, 1152074]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1324225, 5110323, 66076021]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1324225],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,9,"[38294, 55281, 68491, 342108, 590724, 1324225, 5110323, 7665589, 8205034]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1324225],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[38294, 1152074, 5110323, 21216985, 28750310]",1,[5110323],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5110323],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[38294, 342108, 65588599]",1,[38294],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[38294],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[38294, 690853, 5110323]",1,[38294],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[38294],0,[],0,[],2,
