time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,6,"[32112, 88809, 467255, 512834, 3228598, 13960701]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[467255],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[32112, 467255, 17991708]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[467255],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[2882, 592040, 16603773, 26384082]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[26384082],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[2882, 7958850, 26384082]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[26384082],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,7,"[15092, 8901440, 14213975, 22584737, 24595575, 26384082, 36399892]",1,[26384082],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,7,"[15092, 8901440, 14213975, 22584737, 24595575, 26384082, 36399892]",1,[26384082],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1324510, 26384082, 61671064]",1,[26384082],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[26384082],1,[26384082],0,[],2,
2020-07,top_k,3,degree_centrality_z,9,"[31096, 116184, 467255, 1324510, 12187228, 20952040, 21150155, 26384082, 74065585]",1,[26384082],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[26384082],1,[26384082],0,[],2,
2021-01,top_k,3,degree_centrality_z,7,"[19553, 467255, 11460645, 20952040, 26384082, 40816837, 74065585]",1,[26384082],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[467255],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[467255, 15956627, 40816837, 70140627, 74770297, 89112582]",1,[467255],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[40816837],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[5622979, 10696893, 26384082, 84093433]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[26384082],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[449189, 2314797, 3709715, 43654377]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[2314797],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[1289205, 4958720, 13808314, 146633387]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,4,"[1289205, 4958720, 13808314, 146633387]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[198999, 467255, 49501465, 138329707, 146633387]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[467255],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,10,"[424073, 1566520, 7138331, 7200365, 26302468, 32580384, 37326403, 68940237, 80119007, 138329707]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[424073, 26302468]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[20026896, 37326403, 69411527]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[69411527],0,[],0,[],2,
