time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,3,"[795084, 9086899, 12296271]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[9086899],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[9086899, 17211788, 17279595]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[17279595],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,8,"[3001270, 4151729, 9086899, 13984912, 21199489, 33443312, 36463460, 67889582]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[9086899],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[7637767, 9086899, 25957358]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[9086899],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[9086899, 23347122, 29671050, 38993137, 49041041]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[9086899],0,[],0,[],2,
