time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[64280, 179393, 1133954]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[64280],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[64280, 167073, 17233492, 22429695]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[64280, 167073, 22429695]",1,[64280],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[64280],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[64280, 71508, 6388047, 6862893, 12465965, 22429695]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[64280, 22429695]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[64280, 16748022, 22429695, 44410066]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[64280, 22429695]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[3014737, 4459068, 22429695, 55551714]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[64280, 207405, 414336, 55551714]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[64280],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[64280, 39669025, 74902605]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[64280],0,[],0,[],2,
