time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[694541, 828452, 1071332]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[694541],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,7,"[45939, 150902, 687269, 694541, 3536982, 4960324, 7323142]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[694541],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,10,"[4837, 45939, 200944, 694541, 857609, 1044332, 1548809, 3456211, 3536982, 4960324]",1,[694541],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[26336, 694541, 934514]",1,[694541],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[26336],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[3818, 649496, 694541, 1760209, 9878230]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[9878230],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,12,"[329822, 649496, 694541, 1760209, 2458487, 4634112, 4806497, 5302080, 7508491, 7782732, 14078870, 34023431]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[694541],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,26,"[15092, 156838, 195053, 305278, 308610, 329822, 399471, 592209, 694541, 793167, 880687, 903744, 1476544, 1626382, 1760209, 2754587, 4432895, 4622652, 4660275, 5145946, 6230141, 7870803, 9878230, 24651317, 29108945, 35276322]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[694541],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,14,"[5316, 15092, 39889, 291289, 315648, 651722, 675997, 694541, 2458487, 2754587, 16614031, 23616600, 30176093, 32124593]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[694541],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,10,"[694541, 1374124, 2326287, 3587913, 3664215, 4048475, 4840096, 7438587, 9780746, 32124593]",1,[694541],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[694541, 6200103, 31284574, 31971762]",1,[694541],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[169410, 675997, 694541, 1620192, 6026123]",1,[694541],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[110765, 169410, 234373, 675997, 694541, 44315208]",1,[694541],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2022-07,top_k,3,degree_centrality_z,10,"[642657, 694541, 3587913, 5151706, 7420823, 9780746, 20079016, 20948931, 46668016, 68924389]",1,[694541],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2023-01,top_k,3,degree_centrality_z,12,"[50891, 61256, 611471, 615759, 694541, 855238, 1620192, 7420823, 8432571, 18636401, 20948931, 76165984]",1,[694541],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
2023-07,top_k,3,degree_centrality_z,10,"[234373, 485399, 615759, 694541, 2456133, 8432571, 19686054, 27294025, 31284574, 87030014]",1,[694541],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[694541],1,[694541],0,[],2,
