time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[4144526, 8337880, 22453358]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[4144526],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4144526, 17640539, 22429695]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[4144526],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[240344, 4144526, 22429695]",1,[4144526],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[4144526],1,[4144526],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[4144526, 22429695, 32380878]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[4144526],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,9,"[1903418, 2704364, 4144526, 4875142, 8337880, 22429695, 32380878, 45269130, 109305062]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[4144526, 8043603, 19642705, 22429695, 32936898, 51541424]",2,"[4144526, 22429695]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[4144526, 8043603]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[4144526, 22429695, 32936898]",2,"[4144526, 22429695]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[4144526],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[4144526, 13123868, 28227509, 46283762]",1,[4144526],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[4144526, 46283762]",1,[4144526],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[4115973, 4144526, 8887756, 22429695]",1,[4144526],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[3843619, 4144526, 22429695, 70757578, 75441895, 99662189]",1,[4144526],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[3843619, 4144526]",0,[],0,[],2,
