time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,3,"[1117703, 5069736, 57472298]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1117703],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[380817, 1117703, 6130352, 6867864]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1117703],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[1117703, 5069736, 8660647, 35218186, 75382080]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1117703],0,[],0,[],2,
