time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,5,"[836223, 1313935, 1719223, 13390399, 17686876]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1719223],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[50891, 1719223, 4698931]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,3,"[50891, 1719223, 4698931]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1719223, 6492873, 14315742]",1,[1719223],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1719223],1,[1719223],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[1719223, 8650450, 43551287]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1719223],0,[],0,[],2,
