time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,4,"[760356, 1280054, 1492974, 5308143]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[5308143],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[1492974, 1720928, 1738062, 2124385, 5308143]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[5308143],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[5308143, 7199114, 15492016]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[5308143],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,6,"[1476029, 2462548, 5308143, 11504177, 32294936, 33454758]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[5308143],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,7,"[89685, 1556583, 5308143, 8603485, 9423009, 32294936, 34429853]",1,[5308143],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5308143],1,[5308143],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[5308143, 10712010, 26092799]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5308143],0,[],0,[],2,
