time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,3,"[7096186, 7584540, 32673725]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[7584540],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[7096186, 7584540, 84496406]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[7584540],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[7584540, 56093722, 68377769, 81178328]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[7584540],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[5280741, 7584540, 44452373, 74787601]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[7584540],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[4273567, 7584540, 63202654]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[7584540],0,[],0,[],2,
