time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,10,"[3596, 287411, 289994, 2346494, 3994972, 4751554, 5019967, 29279151, 30215038, 46423122]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2346494],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[2346494, 3994972, 19167068, 33359427]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[2346494],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2346494, 10431628, 38285586]",1,[2346494],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[2346494],1,[2346494],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[2346494, 26833950, 54141258]",1,[2346494],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[2346494],1,[2346494],0,[],2,
2023-07,top_k,3,degree_centrality_z,12,"[509507, 2346494, 7837172, 16380562, 24987395, 37017794, 46187761, 46249142, 46443190, 51450254, 61663209, 93458689]",1,[2346494],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2346494],1,[2346494],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[2346494, 40421448, 54426652, 91080631, 98469234]",1,[2346494],1,[2346494],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2346494],1,[2346494],1,[2346494],2,
2024-07,top_k,3,degree_centrality_z,3,"[82304359, 102785092, 113965776]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[82304359, 102785092, 113965776]",0,[],0,[],2,
