time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[639730, 3258466, 3525167, 51749973]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[3525167],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,10,"[237506, 698231, 971474, 2104898, 3258466, 3525167, 4437376, 5111931, 34080209, 40151953]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[3525167],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[3525167, 10358603, 40151953]",1,[3525167],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2022-07,top_k,3,degree_centrality_z,10,"[47721, 1278301, 2395100, 3525167, 5111931, 7551751, 10488441, 25917750, 32811735, 59760697]",1,[3525167],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1278301, 3525167, 11209045]",1,[3525167],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[1607653, 1741638, 3525167, 9974686, 36080343, 51749973]",1,[3525167],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[87603, 615053, 776695, 3525167, 11600804, 59307322]",1,[3525167],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[3525167, 6368916, 59307322]",1,[3525167],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
2025-01,top_k,3,degree_centrality_z,7,"[776695, 3525167, 12086466, 22379937, 51749973, 59307322, 86672156]",2,"[3525167, 59307322]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[3525167],1,[3525167],0,[],2,
