time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[335438, 1105056, 13680944]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1105056],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[335438, 2582395, 13680944]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[335438],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[335438, 2486553, 2582395]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[335438],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[335438, 2486553, 2582395, 39387258]",2,"[335438, 2582395]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2486553],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[335438, 1105056, 2486553]",2,"[335438, 2486553]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2486553],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[335438, 1701960, 2486553, 22892968]",2,"[335438, 2486553]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[2486553, 22892968]",1,[2486553],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[335438, 1390035, 2486553, 22892968]",2,"[335438, 2486553]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2486553],1,[2486553],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[335438, 2486553, 22892968]",3,"[335438, 2486553, 22892968]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2486553],1,[2486553],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2486553, 7216331, 22892968]",2,"[2486553, 22892968]",1,[22892968],,3
2021-07,z_thresh,3,degree_centrality_z,1,[7216331],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[335438, 2486553, 7216331]",1,[2486553],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[7216331],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[335438, 1390035, 2486553, 7216331, 113943154]",2,"[2486553, 7216331]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[7216331],1,[7216331],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[335438, 1105056, 2486553, 7216331]",3,"[335438, 2486553, 7216331]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[335438],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[335438, 1390035, 1702075, 29625900]",1,[335438],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[335438, 1390035]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1105056, 2486553, 29625900]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2486553],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[335438, 1105056, 29625900]",1,[29625900],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[29625900],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[335438, 1105056, 29625900]",2,"[1105056, 29625900]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[335438, 1105056, 29625900]",0,[],0,[],2,
