time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,4,"[733773, 1017173, 5920552, 12912489]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[12912489],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[1109536, 12912489, 21035795, 39047984]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[1109536, 12912489]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[1109536, 4037377, 9135965, 12912489, 21035795, 39047984]",1,[12912489],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[1109536, 4037377, 12912489, 39047984]",3,"[1109536, 12912489, 39047984]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1109536, 12912489, 39047984]",3,"[1109536, 12912489, 39047984]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[11393224, 12912489, 39047984]",2,"[12912489, 39047984]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[11393224, 12912489, 39047984]",2,"[12912489, 39047984]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[11393224, 12912489, 39047984]",3,"[11393224, 12912489, 39047984]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[11393224, 12912489, 39047984]",3,"[11393224, 12912489, 39047984]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[11393224, 12912489]",1,[12912489],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[11393224, 12912489, 17974113, 39047984]",3,"[11393224, 12912489, 39047984]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[11393224, 12912489]",1,[12912489],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[11393224, 12912489, 39047984]",3,"[11393224, 12912489, 39047984]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[5363860, 11393224, 12912489, 17974113]",2,"[11393224, 12912489]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[11393224, 12912489]",1,[12912489],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[5363860, 11393224, 12912489, 39047984]",2,"[11393224, 12912489]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[12912489],1,[12912489],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5363860, 11393224, 12912489]",3,"[5363860, 11393224, 12912489]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[11393224],0,[],0,[],2,
