time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[174276, 233340, 1089355]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[233340],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[100364, 233340, 904570]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[233340],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[233340, 904570, 15073177]",1,[233340],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,3,"[233340, 904570, 15073177]",1,[233340],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[233340, 904570, 15073177, 21296533]",2,"[233340, 904570]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[904570],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[904570, 8655789, 19437466]",1,[904570],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[904570],1,[904570],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[597101, 904570, 8655789]",1,[904570],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[904570],1,[904570],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[233340, 429402, 904570]",1,[904570],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[904570],1,[904570],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[429402, 904570, 15687581]",1,[904570],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,3,"[429402, 904570, 15687581]",1,[904570],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[650506, 904570, 3463048, 8063220, 15687581]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[904570],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[429402, 904570, 15687581]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[904570],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[429402, 904570, 15687581]",2,"[904570, 15687581]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[904570],1,[904570],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[429402, 904570, 15687581]",3,"[429402, 904570, 15687581]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[904570],1,[904570],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[429402, 1334561, 8655789, 56658285]",1,[429402],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[429402, 56658285]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[3706922, 5311753, 6935280, 15687581]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,4,"[3706922, 5311753, 6935280, 15687581]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,9,"[141546, 429209, 1629217, 2875429, 15245298, 15687581, 33441569, 53151058, 91217473]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[15687581],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[233340, 429402, 904570]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[233340],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[233340, 12698538, 31370133]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[12698538],0,[],0,[],2,
