time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,4,"[37369, 37565, 107893, 8655789]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[37565, 886296, 2230180, 8655789]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[37565, 886296, 8655789]",2,"[37565, 8655789]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[8655789],1,[8655789],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[37565, 886296, 8655789]",3,"[37565, 886296, 8655789]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[8655789],1,[8655789],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[37565, 107893, 579798, 22429695]",1,[37565],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[37565],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[37565, 107893, 22429695]",1,[37565],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[107893],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[107893, 1170435, 22429695]",2,"[107893, 22429695]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,3,"[107893, 1170435, 22429695]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[705211, 7599855, 22429695]",1,[22429695],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[107893, 705211, 3674112, 22429695]",1,[22429695],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[705211],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[705211, 18530670, 22429695]",2,"[705211, 22429695]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[705211, 22429695]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[241039, 705211, 1191135, 18530670, 22429695]",2,"[705211, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
2021-01,top_k,3,degree_centrality_z,9,"[241039, 705211, 6295315, 7937848, 15800727, 18530670, 22377678, 22429695, 32301192]",3,"[705211, 18530670, 22429695]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[241039, 705211, 22429695]",3,"[241039, 705211, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[107893, 241039, 705211, 22429695]",3,"[241039, 705211, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[107893, 241039, 705211, 22429695]",3,"[241039, 705211, 22429695]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[107893, 241039, 705211]",3,"[107893, 241039, 705211]",1,[107893],,3
2023-01,z_thresh,3,degree_centrality_z,1,[241039],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[241039, 705211, 22429695]",2,"[241039, 705211]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[241039, 705211, 39302391]",2,"[241039, 705211]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[705211],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[241039, 705211, 177254393]",2,"[241039, 705211]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[241039, 705211, 177254393]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[241039, 705211, 5853172]",2,"[241039, 705211]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[705211],1,[705211],0,[],2,
