time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,17,"[1357866, 3949332, 5544610, 14372163, 15840328, 18491038, 22024637, 25080928, 27566630, 31044304, 31848222, 45796739, 48449679, 48552619, 52323121, 59243837, 73321920]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[18491038],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,16,"[3965957, 7099482, 8978835, 14980558, 16329241, 18491038, 21364546, 31848222, 34626942, 42953630, 44200932, 69701735, 72138521, 79642242, 81887288, 85075131]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[18491038],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,10,"[1057733, 12783041, 13086426, 18491038, 36544323, 38126496, 40537445, 60955924, 73851043, 108512856]",1,[18491038],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[8625540, 15840328, 18487334, 18491038]",1,[18491038],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
2023-07,top_k,3,degree_centrality_z,11,"[2181431, 8625540, 13186137, 18491038, 19240467, 44437600, 61003684, 74632295, 82008173, 95659467, 106004161]",1,[18491038],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
2024-01,top_k,3,degree_centrality_z,16,"[1990816, 5544610, 6028825, 7845195, 12870742, 12963485, 18491038, 33222654, 33301460, 34783617, 51081061, 62879630, 72848937, 76654674, 117834927, 140737044]",1,[18491038],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[18491038, 91585528, 120155609, 149816513]",1,[18491038],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[18491038, 43819983, 93443654]",1,[18491038],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[18491038],1,[18491038],0,[],2,
