time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,4,"[30342, 89908, 1845601, 9027301]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1845601],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1845601, 3129598, 51795017]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1845601],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[541348, 1845601, 2851492, 7834655, 16959656]",1,[1845601],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1845601],1,[1845601],0,[],2,
2024-01,top_k,3,degree_centrality_z,7,"[30342, 1845601, 2058557, 14599855, 22152512, 40600995, 71385290]",1,[1845601],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1845601],1,[1845601],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[541348, 1845601, 2058557]",1,[1845601],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1845601],1,[1845601],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[876495, 1845601, 14599855, 16333554]",1,[1845601],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1845601],1,[1845601],0,[],2,
