time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,5,"[79224, 797801, 1002300, 1639148, 2131546]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,6,"[28623, 79224, 117966, 332428, 1002300, 13491423]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1002300],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,7,"[79224, 1002300, 1785945, 3627835, 4762486, 5386897, 12262156]",2,"[79224, 1002300]",1,[1002300],,3
2017-01,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[9766, 79224, 1044137, 8655789]",1,[79224],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[79224, 1044137, 8655789, 11477153]",1,[79224],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[79224, 1044137]",1,[79224],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[79224, 132653, 50442676]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[79224, 332428, 618246, 6816588]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[79224, 1478376, 23559698]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[79224],0,[],0,[],2,
