time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,5,"[182479, 200635, 599298, 1259374, 1480795]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[200635],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[51312, 200635, 1328961]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[200635],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1259374, 1625053, 4844997]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,3,"[1259374, 1625053, 4844997]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[191195, 630271, 847236, 19783885]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,4,"[191195, 630271, 847236, 19783885]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[191195, 200635, 1328961]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[200635],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[72403, 191195, 1328961]",1,[191195],1,[191195],,3
2019-07,z_thresh,3,degree_centrality_z,1,[72403],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[200635, 391827, 19538034, 58012003]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[200635, 58012003]",0,[],0,[],2,
