time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,6,"[158287, 374612, 582444, 952830, 5399476, 14942350]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[582444],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[374612, 582444, 1592324, 2921401]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1592324],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[582444, 839552, 8888190, 23095815]",1,[582444],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[582444],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[582444, 1592324, 3933348]",1,[582444],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[582444],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[582444, 1209643, 1592324, 8763901, 20447447]",1,[582444],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[582444, 1592324, 2810095, 26184793]",2,"[582444, 1592324]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[582444, 1592324, 36510821]",2,"[582444, 1592324]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[582444, 4442504, 25696105]",1,[582444],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2019-07,top_k,3,degree_centrality_z,8,"[582444, 4130991, 6764450, 7224315, 12462792, 25696105, 43523698, 58528379]",1,[582444],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2020-01,top_k,3,degree_centrality_z,20,"[491704, 582444, 1644644, 4099333, 6489230, 7422433, 8844823, 9284430, 10780590, 11417749, 16537507, 26055800, 37515792, 42568091, 44230346, 48166845, 59755400, 61047950, 64681932, 67372859]",1,[582444],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[246144, 582444, 7422433, 15819543, 34033008]",1,[582444],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2021-01,top_k,3,degree_centrality_z,11,"[77731, 578155, 582444, 7472309, 8400998, 19223877, 25794862, 26384082, 34033008, 74219051, 76110682]",1,[582444],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[246144, 582444, 7472309, 8400998, 10780590]",1,[582444],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2022-01,top_k,3,degree_centrality_z,21,"[77731, 248078, 469155, 577257, 582444, 1201015, 1747497, 1817307, 2184268, 3192112, 3235521, 4395139, 6431354, 7422433, 9844354, 11785524, 22320312, 34525881, 56764399, 67372859, 96209093]",1,[582444],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2022-07,top_k,3,degree_centrality_z,19,"[469155, 582444, 881931, 1051212, 3504098, 4803896, 5736478, 7515900, 8387736, 11785524, 12462792, 33181256, 46447321, 47680985, 47896059, 57511737, 67372859, 67589323, 69062248]",1,[582444],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2023-01,top_k,3,degree_centrality_z,20,"[14634, 469155, 582444, 1454758, 5307958, 6147420, 6856673, 7422433, 7622285, 8994014, 14923168, 17593457, 30607152, 33181256, 34302971, 46447321, 57511737, 58017832, 87949406, 87958114]",2,"[469155, 582444]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[402547, 469155, 582444, 25953969]",2,"[469155, 582444]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2024-01,top_k,3,degree_centrality_z,10,"[402547, 582444, 7515900, 12958815, 20556689, 32488097, 32607317, 38872597, 40008150, 161243968]",1,[582444],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2024-07,top_k,3,degree_centrality_z,11,"[582444, 1021783, 1592324, 4514101, 4950446, 5303978, 8372246, 32607317, 34302971, 34525881, 52859929]",1,[582444],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
2025-01,top_k,3,degree_centrality_z,10,"[469155, 582444, 1446552, 1497707, 1592898, 19345112, 25696105, 34894100, 53008522, 67372859]",1,[582444],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[582444],1,[582444],0,[],2,
