time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,8,"[1050316, 1773655, 2077497, 5109188, 6912920, 7008163, 10681979, 12842873]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[5109188],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[5109188, 8799136, 9590302, 16380010, 20866620]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[8799136],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,6,"[1298333, 7531145, 9461129, 12882642, 14821048, 14963172]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,6,"[1298333, 7531145, 9461129, 12882642, 14821048, 14963172]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[4340493, 5850175, 6002936, 20718724, 38585591, 40496555]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[4340493, 38585591]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,6,"[4340493, 6002936, 8699465, 19618033, 24311185, 33675736]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[8699465, 19618033]",0,[],0,[],2,
