time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,3,"[993527, 12430515, 41592183]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[41592183],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,9,"[1458964, 3585064, 5778589, 7419761, 17017632, 24588823, 29334500, 29760159, 41592183]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[41592183],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[136885, 1771458, 5778589, 34476763, 41592183]",1,[41592183],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[20762865, 29481017, 41592183, 46811521]",1,[41592183],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[5778589, 27405093, 41592183, 55718411]",1,[41592183],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[8332263, 41592183, 44063906, 54015518, 55089906, 76180229]",1,[41592183],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1069005, 41592183, 70940108]",1,[41592183],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2022-07,top_k,3,degree_centrality_z,11,"[8332263, 9166025, 20468065, 22690032, 41592183, 45491813, 53251808, 64679663, 70940108, 85363111, 108859776]",1,[41592183],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[41592183],1,[41592183],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[114985, 1069005, 30907014, 41592183, 54015518]",1,[41592183],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[114985],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[20468065, 41592183, 70528301, 132660964]",1,[41592183],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[41592183],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,7,"[7069968, 28115147, 41592183, 61293164, 73524835, 86408157, 124012954]",1,[41592183],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[41592183],0,[],0,[],2,
