time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,3,"[2090236, 5287848, 5557758]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[2090236, 5013975, 5985250, 6315019, 16880838]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[2065676, 2090236, 5013975]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[2090236, 5013975, 20800912]",2,"[2090236, 5013975]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2090236],1,[2090236],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[2090236, 5013975, 7647126, 30087326]",2,"[2090236, 5013975]",1,[5013975],,3
2018-07,z_thresh,3,degree_centrality_z,1,[2090236],1,[2090236],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[2090236, 20194427, 20800912]",1,[2090236],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2090236],1,[2090236],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[2090236, 5985250, 7647126, 20194427]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[2090236, 7647126, 43047691]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[2090236, 7647126, 30087326, 41898282]",2,"[2090236, 7647126]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2090236],1,[2090236],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[2090236, 7647126, 14298894, 41898282]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2090236, 7647126, 30330521]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,3,"[2090236, 7647126, 30330521]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[2090236, 7647126, 10520376, 112646956]",2,"[2090236, 7647126]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[7647126],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[123428, 2090236, 7647126, 30330521, 41898282]",2,"[2090236, 7647126]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[2090236, 7647126, 10520376, 16024299, 30330521, 41898282]",2,"[2090236, 7647126]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2090236],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[2090236, 7647126, 10520376, 66814693]",2,"[2090236, 7647126]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[2090236],1,[2090236],0,[],2,
