time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,3,"[4604520, 7548106, 8062861]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[4604520],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[1794475, 4604520, 7548106, 8784550, 103191307]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1794475],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[103398, 2693051, 4604520, 7548106, 36768761, 103191307]",2,"[4604520, 7548106]",2,"[4604520, 7548106]",,3
2023-01,z_thresh,3,degree_centrality_z,1,[103398],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,7,"[52135, 103398, 1794475, 2693051, 3097030, 21658174, 25056064]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[103398],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[52135, 3097030, 35115877, 54230036]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[3097030],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[52135, 2693051, 3097030, 8159430, 54230036]",2,"[52135, 3097030]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[52135],0,[],0,[],2,
