time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[184196, 238690, 785983]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[5517, 184196, 925171]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[5517, 184196]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,5,"[184196, 862013, 1324225, 5554042, 5767112]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[43662, 184196, 338607, 2354108, 3310933, 25290579]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[147840, 184196, 307057, 2354108]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[184196, 2354108]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[139487, 184196, 63820673]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[184196, 240344, 2354108]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[184196, 2354108, 8851347, 9131769, 9677399, 15848063]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[184196, 8851347]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[110765, 184196, 70146207]",1,[184196],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[184196, 3419721, 63820673]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[184196],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[184196, 240344, 175728472, 198982749]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[184196, 240344]",0,[],0,[],2,
