time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,3,"[3061232, 7396998, 30938717]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[7396998],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[5650106, 7396998, 30938717]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[5650106],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[4162496, 5650106, 7396998]",1,[7396998],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5650106],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[5650106, 7396998, 54898249]",2,"[5650106, 7396998]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5650106, 54898249, 65553080]",1,[5650106],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[5650106, 7396998, 54898249]",2,"[5650106, 54898249]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[5650106, 7396998, 54898249, 65553080]",2,"[5650106, 54898249]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[1166744, 5650106, 38292534, 54898249]",2,"[5650106, 54898249]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5650106, 54898249, 140790752]",2,"[5650106, 54898249]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5650106],1,[5650106],0,[],2,
