time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[101077, 968786, 2354108]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[968786],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,5,"[101077, 968786, 1991377, 3880707, 5881581]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[968786],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[968786, 2354108, 3625310]",1,[968786],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,3,"[968786, 2354108, 3625310]",1,[968786],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[154603, 1174343, 2354108]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[968786, 2354108, 5881581, 18597734]",1,[2354108],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[18597734],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[2354108, 18597734, 22429695]",1,[2354108],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[18597734],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[968786, 18597734, 22429695]",1,[18597734],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[18597734],1,[18597734],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[210980, 1479244, 22429695]",1,[22429695],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[135876, 210980, 22429695]",1,[22429695],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[210980, 371795, 1898297, 22429695]",2,"[210980, 22429695]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[210980, 22429695]",1,[22429695],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[210980, 303133, 7735024, 29560208, 32917892]",1,[210980],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[210980],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[181249, 210980, 11278746, 22429695]",1,[210980],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[210980, 22429695]",1,[210980],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[194736, 210980, 4043989]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[210980],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[48517, 11278746, 19354410, 47873678, 62394255, 65687277, 104085898, 117554978]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[11278746],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,11,"[1027694, 1916759, 5014629, 11278746, 19354410, 22429695, 37263474, 49699333, 64309267, 79299168, 139727780]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[11278746],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[690193, 968786, 11278746, 17404773]",1,[11278746],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[11278746],1,[11278746],0,[],2,
