time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,4,"[3043914, 7839515, 30047498, 42518815]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[7839515],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[7839515, 42518815, 53173049]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[7839515],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[1731147, 7839515, 17927139, 42518815, 50169834]",2,"[7839515, 42518815]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[7839515],1,[7839515],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[7839515, 14158679, 15235823]",1,[7839515],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[7839515],1,[7839515],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[7839515, 14294867, 42518815, 65790202]",1,[7839515],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[7839515, 42518815]",1,[7839515],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[7336967, 7839515, 42518815]",1,[7839515],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[7336967],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[7336967, 7839515, 42518815]",2,"[7839515, 42518815]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[7336967, 7839515, 42518815]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[7336967, 7839515, 32932511, 42518815]",3,"[7336967, 7839515, 42518815]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[42518815],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[7839515, 42518815, 115992884]",2,"[7839515, 42518815]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[7839515, 42518815]",1,[42518815],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[7839515, 32932511, 42518815]",2,"[7839515, 42518815]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[42518815],1,[42518815],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[7839515, 40025495, 42518815]",2,"[7839515, 42518815]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[42518815],1,[42518815],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[7839515, 32932511, 36136863]",1,[7839515],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[7839515],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[7839515, 32932511, 42518815, 115992884]",1,[7839515],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[32932511],0,[],0,[],2,
