time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,4,"[53298, 156838, 305268, 6608430]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[48936, 53298, 156838]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[48936],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,5,"[48936, 53298, 327833, 527862, 6608430]",1,[53298],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[9766, 53298, 8655789]",1,[53298],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[53298, 1386547, 8655789]",1,[53298],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[9766, 53298, 156838, 8655789]",2,"[53298, 8655789]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[53298, 1085180, 8655789]",2,"[53298, 8655789]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1085180],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[9766, 53298, 229453]",1,[53298],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[9766, 53298]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[9766, 2952076, 8655789]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[9766],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[53298, 152008, 3322808, 3472143, 8655789]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[3322808],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[9766, 156838, 9677399]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[9766],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[53298, 102495, 413772, 9677399, 65553080]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[102495, 413772, 1423728]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[102495],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[53298, 31284574, 43916661]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[53298, 1503700, 2678795]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[53298],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[53298, 301015, 444833, 1503700, 6212603, 7649683, 31284574]",1,[53298],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1503700],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[53298, 1324225, 1503700, 3531281]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1503700],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[439279, 1503700, 6212603]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[439279, 1503700, 6212603]",0,[],0,[],2,
