time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,3,"[577277, 931393, 5384588]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[5384588],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[726075, 5384588, 20959853]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[5384588, 20959853]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[726075, 1195088, 5384588]",1,[5384588],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[726075, 5384588]",1,[5384588],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[726075, 5384588, 16359713]",2,"[726075, 5384588]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,3,"[726075, 5384588, 16359713]",1,[5384588],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[667809, 5384588, 16359713]",1,[5384588],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,3,"[667809, 5384588, 16359713]",1,[5384588],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[5384588, 13089297, 35853368]",1,[5384588],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,3,"[5384588, 13089297, 35853368]",1,[5384588],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[5384588, 14104855, 23486130]",1,[5384588],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[5384588, 23486130]",1,[5384588],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[4873189, 5384588, 23486130]",1,[5384588],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,4,"[4873189, 5384588, 23486130, 41993974]",1,[5384588],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[346043, 5384588, 41993974]",1,[5384588],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,4,"[346043, 4873189, 5384588, 41993974]",1,[5384588],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4873189, 5384588, 41993974]",1,[5384588],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,5,"[346043, 4873189, 5384588, 41993974, 55858104]",3,"[4873189, 5384588, 41993974]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[346043, 4873189, 55858104]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,4,"[346043, 4873189, 41993974, 55858104]",3,"[346043, 4873189, 41993974]",0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[346043, 35853368, 41993974, 55858104]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,4,"[346043, 35853368, 41993974, 55858104]",3,"[346043, 41993974, 55858104]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[4873189, 41993974, 55858104]",1,[55858104],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[4873189, 41993974, 55858104]",2,"[41993974, 55858104]",0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[4873189, 41993974, 55858104]",2,"[41993974, 55858104]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[4873189, 41993974]",1,[41993974],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[4873189, 41993974, 77990230, 113718461]",2,"[4873189, 41993974]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[4873189, 77990230]",1,[4873189],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[5451426, 48215717, 84765720, 113547567]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[84765720, 113547567]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[13264584, 113547567, 113718461]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[113547567],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[11991224, 13264584, 113718461, 174299752]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[174299752],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[323199, 8471266, 13264584, 30733558, 149650845, 174299752]",1,[13264584],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[323199, 13264584]",0,[],0,[],2,
