time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,7,"[104113, 522248, 1908139, 1939783, 2052449, 2312659, 8015568]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[104113],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,11,"[104113, 1102057, 1459385, 1908139, 2312659, 8015568, 8457512, 10442429, 12493312, 14826481, 21377613]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[104113],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[104113, 6757418, 11263070]",1,[104113],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[104113, 3812162, 11263070]",1,[104113],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[104113, 3128983, 3812162, 10963524, 18103476]",1,[104113],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2019-01,top_k,3,degree_centrality_z,18,"[104113, 203854, 366957, 1384231, 2042045, 3812162, 3831949, 4597985, 6830301, 8766836, 9169332, 11629856, 12850042, 13407183, 21377613, 29090864, 32458727, 41593086]",2,"[104113, 3812162]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[104113, 3812162, 3831949, 16916671]",2,"[104113, 3812162]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[104113, 9963998, 30650458]",1,[104113],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[104113, 371687, 410276, 19522250, 42547842, 68033772]",1,[104113],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[104113, 371944, 2681677, 6266956, 7581646]",1,[104113],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2021-07,top_k,3,degree_centrality_z,16,"[45891, 104113, 371944, 557933, 713019, 768639, 2681677, 3008348, 3591551, 4622553, 7581646, 19714790, 53462452, 68033772, 84330458, 94140949]",1,[104113],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[104113, 22431069, 30121965, 68033772]",1,[104113],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2022-07,top_k,3,degree_centrality_z,12,"[104113, 768639, 925113, 955874, 959373, 1492255, 2681677, 6619979, 11866753, 14079121, 52254003, 61687784]",1,[104113],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[104113, 9086206, 22431069, 92879373, 124781250]",1,[104113],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2023-07,top_k,3,degree_centrality_z,9,"[104113, 353748, 713019, 2356904, 2681677, 8374599, 31141271, 35526278, 147703765]",1,[104113],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[104113, 1088639, 93606484]",1,[104113],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[104113, 273163, 462992, 6998656, 22874137, 48138039, 92879373]",1,[104113],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[104113],1,[104113],0,[],2,
