time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,10,"[18676, 444313, 857308, 1461427, 1522476, 2054313, 2884328, 4921724, 8893870, 11873547]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[18676],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[18676, 597457, 1079061]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[18676],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[18676, 2354108, 9865397]",1,[18676],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[18676, 2354108, 3630149, 6474409, 20840994]",1,[18676],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[18676, 1086424, 1556185, 8845940, 12085005]",1,[18676],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2017-07,top_k,3,degree_centrality_z,8,"[18676, 597457, 1159674, 1259537, 1397590, 2637805, 3808839, 11294306]",1,[18676],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2018-01,top_k,3,degree_centrality_z,8,"[18676, 873306, 1397590, 3808839, 5030061, 7806878, 28070263, 35585921]",1,[18676],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2018-07,top_k,3,degree_centrality_z,7,"[18676, 1853237, 2421402, 3650755, 5030061, 6334242, 7715489]",1,[18676],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2019-01,top_k,3,degree_centrality_z,7,"[18676, 5030061, 11759200, 11869189, 12248494, 14226449, 16106175]",2,"[18676, 5030061]",1,[5030061],,3
2019-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2019-07,top_k,3,degree_centrality_z,8,"[18676, 1487036, 2600682, 5507113, 11759200, 16206628, 28995198, 28997609]",1,[18676],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[18676, 52274, 341158, 1087837, 1487036, 1587438, 2112070, 47812810]",1,[18676],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[18676, 351085, 1487036, 5751272, 25712149, 39320840]",2,"[18676, 1487036]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[18676, 1397590, 1487036, 17596505, 35799796]",2,"[18676, 1487036]",1,[1487036],,3
2021-01,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2021-07,top_k,3,degree_centrality_z,7,"[18676, 1397590, 7597081, 17596505, 39846316, 54985860, 66544272]",1,[18676],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[18676],1,[18676],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,8,"[18676, 297609, 10929749, 11426911, 29519295, 30052553, 34510704, 47952308]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[18676],0,[],0,[],2,
