time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,6,"[6934592, 7079143, 10076072, 11455278, 15035452, 20151962]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[10076072],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,8,"[2106594, 8274726, 10076072, 11455278, 12001304, 16366671, 29706254, 45088507]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[10076072],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,9,"[8281189, 10076072, 10413502, 11455278, 17855500, 19197539, 25507629, 37239554, 40366263]",2,"[10076072, 11455278]",1,[11455278],,3
2019-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[4510984, 5046833, 7038335, 10076072]",1,[10076072],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2020-07,top_k,3,degree_centrality_z,13,"[5210, 5384977, 6054951, 7124203, 10076072, 18083383, 25309320, 42929692, 43495634, 52414512, 69001870, 69016723, 69472995]",1,[10076072],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2021-01,top_k,3,degree_centrality_z,11,"[2721423, 7038335, 7741548, 9802295, 10076072, 14820738, 30153353, 50376605, 61798226, 62074750, 69001870]",1,[10076072],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[5210, 7038335, 8281189, 10076072, 79792270, 82275968]",1,[10076072],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[2468782, 10076072, 24599317]",1,[10076072],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[10076072, 77158054, 96107897]",1,[10076072],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2023-01,top_k,3,degree_centrality_z,13,"[727482, 7038335, 10076072, 13588114, 15669918, 22252968, 25804496, 33841931, 47641382, 55793536, 78611089, 82846066, 89857735]",1,[10076072],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2023-07,top_k,3,degree_centrality_z,12,"[1298022, 2924974, 7079143, 10076072, 17454848, 47641382, 50153921, 62074750, 82846066, 85945229, 89857735, 132832069]",1,[10076072],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1298022, 10076072, 160951800]",1,[10076072],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[1298022, 1500868, 10076072, 11941421, 22000043, 39695405, 47897003, 121165023]",2,"[1298022, 10076072]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[10076072, 11941421, 106159868]",1,[10076072],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[10076072],1,[10076072],0,[],2,
